track_id,track_name,artist_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,umur,calm,energic,sad,happy
1tyfQdv8os4DVT1uXJt0EQ,Cicak Cicak Di Dinding,Uwa and Friends,0.908,0.377,3,-6.852,1,0.0786,0.0103,0.0197,0.139,0.945,100.038,116245,4,anak-anak,1,0,0,0
16fMdR8dlDiXd7Cae4TObs,Naik Kereta Api,Uwa and Friends,0.85,0.53,11,-4.008,1,0.0362,0.63,0.0296,0.22,0.711,120.002,148152,4,anak-anak,1,0,0,0
5H91XsKg0po4zz18rRDEX9,Bintang Kecil,Uwa and Friends,0.641,0.39,1,-8.41,1,0.0275,0.00493,0.000892,0.225,0.349,112.043,167706,4,anak-anak,1,0,1,0
51kP80ZDifuKLEd5Rg6fdY,Burung Kakatua,Uwa and Friends,0.759,0.673,2,-3.615,1,0.0326,0.699,0.152,0.113,0.616,114.04,142560,3,anak-anak,0,0,0,0
1OPQWJQn8CQ3cX1jyF9Ful,Tik Tik Bunyi Hujan,Calista Amadea,0.622,0.463,11,-6.707,1,0.03,0.858,0.0,0.0773,0.519,110.162,202773,4,anak-anak,1,0,1,0
77BzZhs31dYGy91FDwVJOn,Cicak,Shieren,0.877,0.312,10,-9.075,1,0.0445,0.884,0.000108,0.104,0.93,124.963,134453,4,anak-anak,1,0,0,0
2yzxTnB5PM6WbBWxpodOFf,Pelangi Pelangi (feat. Mila),Lagu Anak Terpopuler Dan Terlaris,0.695,0.802,4,-8.47,1,0.0332,0.211,0.00441,0.147,0.986,129.858,236067,4,anak-anak,1,0,0,1
7sz6uvzwo3gQORTETQTB10,Cicak Cicak Dididing (feat. Mila),Lagu Anak Terpopuler Dan Terlaris,0.807,0.658,2,-6.675,1,0.0313,0.209,0.501,0.311,0.82,124.97,214880,4,anak-anak,0,0,0,0
0kWF6vv94SN4Ul7e3kuDdp,Kepala Pundak Lutut Kaki,Vera,0.845,0.735,9,-5.185,1,0.0339,0.0584,0.9,0.0468,0.979,125.032,188028,4,anak-anak,0,0,0,0
4ciAJ0T0fFWDy21lgWcOrA,Kring Kring Ada Sepeda (feat. Cindy),Lagu Anak Terpopuler Dan Terlaris,0.68,0.861,5,-5.485,1,0.0347,0.256,0.158,0.327,0.874,169.826,128547,4,anak-anak,0,1,0,1
6R4YYuRlfKvULhxPQ3rZAH,Kereta Api,PERGI BELAJAR,0.743,0.754,10,-6.067,1,0.0322,0.194,0.602,0.0822,0.863,119.926,166240,4,anak-anak,0,0,0,0
62sTuYGUY41ft7h1Ojx4ou,Tik Tik Bunyi Hujan (feat. Shava),Lagu Anak Terpopuler Dan Terlaris,0.767,0.747,0,-9.958,1,0.03,0.00847,0.945,0.302,0.766,119.892,181630,4,anak-anak,0,0,0,0
6Z3SgEyDI0ODmRnasRLJGV,Semut Semut Kecil,Filla,0.886,0.597,0,-4.959,1,0.0383,0.222,0.462,0.0674,0.967,120.069,304745,4,anak-anak,0,0,0,0
3OVqu5qNIVSbrVk5U9h9TT,Kalau Kau Suka Hati,"Ebrill, Shieren",0.803,0.653,3,-7.36,1,0.0619,0.705,1.24e-05,0.0857,0.961,129.986,174440,4,anak-anak,1,0,0,1
21fN0DcJOg3NkrxIaAEMvc,Lihat Kebunku,Lidya Lau,0.703,0.689,10,-8.159,1,0.0373,0.088,0.00196,0.101,0.932,85.002,180653,4,anak-anak,1,0,0,0
6td8wzi4q9oD7X6LBCzWws,Topi Saya Bundar,PERGI BELAJAR,0.849,0.444,0,-5.611,1,0.0351,0.39,0.00429,0.194,0.675,120.014,177947,3,anak-anak,1,0,0,0
0etCg5zas6eW1E4SG9dg95,Paman Datang,Tasya Rosmala,0.653,0.32,3,-9.981,1,0.0277,0.189,0.00518,0.355,0.373,110.115,176213,4,anak-anak,1,0,1,0
755h8dPILAMPIhcvXNzwyP,Helli,LaLa,0.779,0.56,7,-3.279,1,0.0292,0.305,1.04e-05,0.255,0.692,112.551,211545,4,anak-anak,1,0,0,0
4hBeI9COultUipQ7dBshNF,Naik Odong-Odong,ADEL,0.793,0.77,5,-7.778,1,0.0249,0.0985,3.37e-05,0.342,0.917,99.97,184013,4,anak-anak,1,0,0,0
6JRCRmqZ2WeUG1gWjZFgEr,Makan Jangan Asal Makan,Nussa,0.62,0.513,3,-7.648,1,0.0919,0.223,0.0,0.597,0.968,207.85,107127,4,anak-anak,1,1,0,1
02zVQwj3lqZuTpXZ6xALhZ,Balonku,PERGI BELAJAR,0.809,0.567,0,-4.365,1,0.0308,0.298,4.24e-05,0.162,0.607,115.985,204152,4,anak-anak,1,0,0,0
3Kd6xlTBp5FyY2137lGbD9,Abang Tukang Bakso,LaLa,0.95,0.748,4,-4.88,1,0.0393,0.102,0.298,0.0751,0.967,125.044,228227,4,anak-anak,0,0,0,1
4EJx3VM2DVo1NVJJ48ZzsM,Burung Kutilang,PERGI BELAJAR,0.68,0.561,11,-4.358,1,0.0225,0.343,0.00128,0.0745,0.566,99.993,197100,4,anak-anak,1,0,0,0
403I1UNm1wSnMLQhN1qAip,Kepala Pundak Lutut Kaki,Daffa,0.857,0.642,9,-6.634,1,0.0307,0.647,1.78e-05,0.0537,0.962,129.958,148120,4,anak-anak,1,0,0,1
2eGgvBFj1vHw5AEWTQCIuY,Tik TikTik Bunyi Hujan,PERGI BELAJAR,0.827,0.686,2,-5.979,1,0.0279,0.0182,0.384,0.0602,0.655,103.042,191416,4,anak-anak,0,0,0,0
7Irgq8yrVJh0UpOJp0wc0p,Dua Mata Saya,Rio Bhaskara,0.65,0.675,5,-6.972,1,0.0274,0.336,0.0,0.129,0.904,149.968,199387,4,anak-anak,1,0,0,1
00CpNK85el1gGB14zx8WOW,Aku Anak Sehat,Kelvin JS,0.806,0.584,2,-5.127,1,0.0303,0.217,0.0,0.105,0.961,123.011,189613,4,anak-anak,1,0,0,0
03ilV6GJDLSkIq6BKyvem6,Sayang Semuanya,"Lidya Lau, Rio Bhaskara, Sharlene, Dhito A. Riyanto, Febby, Theresa, R. L. Anzela, Kak Nunuk",0.458,0.589,0,-5.795,1,0.0309,0.18,1.22e-05,0.369,0.402,104.624,148560,4,anak-anak,1,0,1,0
59B6XA5N4lOXPP5a0TxRSZ,Naik Kereta Api,Agnes Mo,0.733,0.737,9,-5.083,1,0.0283,0.306,3.38e-06,0.145,0.935,119.998,245428,4,anak-anak,1,0,0,0
01enBJRJ9GqGknjG6dVPkt,Kalau Kau Suka Hati Tepuk Tangan,Didi & Friends,0.867,0.59,4,-7.288,1,0.467,0.476,0.0,0.614,0.932,122.112,112400,4,anak-anak,0,0,0,0
6NICQNMr78615yyMSflYV3,Tek Kotek-Kotek,PERGI BELAJAR,0.814,0.811,7,-6.401,1,0.0354,0.357,0.886,0.078,0.982,130.007,234688,4,anak-anak,0,0,0,1
43saSrQRpbsQKYlkH5YnHb,Anak kambing Saya,"Vito, Febi",0.869,0.764,5,-8.292,0,0.0299,0.625,0.00711,0.0987,0.906,110.092,205920,4,anak-anak,1,0,0,0
1gCqI32wislBAtss4FQ7Oa,Di Sini Senang Di Sana Senang,Ester,0.688,0.845,8,-7.206,1,0.0469,0.311,0.0,0.279,0.971,130.032,192520,4,anak-anak,1,0,0,1
4ZjPq7OcuehnQ8o2eMnW2k,Satu Tambah Satu,Lily,0.7,0.911,0,-5.431,1,0.0369,0.777,0.165,0.131,0.902,139.894,237480,4,anak-anak,0,0,0,1
4og1mdxSutps8k8cbJKKgr,Tek Kotek Kotek,Cantik,0.66,0.932,7,-3.431,1,0.0332,0.594,0.555,0.223,0.978,129.934,215427,4,anak-anak,0,0,0,1
1qe62cNDHOSwt66Dwx2k4d,Burung Kakak Tua,Artis Cilik Mcp,0.586,0.476,0,-7.347,1,0.0282,0.025,0.000146,0.144,0.426,115.833,293227,3,anak-anak,1,0,1,0
2AG33kkZgfF7C65YZJZ9PY,Bunda Piara,Icha Imut,0.857,0.518,0,-8.691,1,0.0345,0.0627,0.049,0.127,0.809,115.053,191000,4,anak-anak,1,0,0,0
0jTAaRfTtiDJJuTnPxweH0,Bangun Tidur,PERGI BELAJAR,0.823,0.691,2,-5.358,1,0.0385,0.237,0.32,0.0725,0.924,119.973,188322,4,anak-anak,0,0,0,0
2ZB03w1VDLXttrOMSyU1PG,Kupu Kupu Yang Lucu,Mila Meilany,0.567,0.896,7,-5.944,1,0.0791,0.311,2.26e-05,0.277,0.737,169.926,251773,4,anak-anak,1,1,0,1
6xHnhybisTEYoysdxZ0EWU,Menanam Jagung,Nicky,0.926,0.867,5,-5.639,1,0.0419,0.538,0.0,0.0525,0.944,125.068,160587,4,anak-anak,1,0,0,1
6JGxMY4rQfSBUpJptiyrsL,Pok Ame Ame,Felicia,0.851,0.5,0,-6.44,1,0.0354,0.255,1.4e-06,0.103,0.917,120.047,167903,4,anak-anak,1,0,0,0
72dyqf3tLtXAF7CCg2l0Zp,Nina Bobo,Filla,0.754,0.269,0,-8.884,1,0.0314,0.48,1.38e-06,0.143,0.516,125.089,260187,4,anak-anak,1,0,1,1
7eiE8f6yHli1nWdwqa59ie,Kalau Kau Suka Hati,Bibitsku,0.987,0.809,0,-4.261,1,0.0498,0.476,0.252,0.0296,0.969,120.005,88000,4,anak-anak,0,0,0,0
6PTUOEsatG4nHcWp0bIWy9,Abcd,PERGI BELAJAR,0.956,0.473,0,-7.265,1,0.035,0.617,0.00675,0.108,0.523,111.943,158897,4,anak-anak,1,0,1,0
3aQX4EENPhelQeNzxDGU5K,Bintang Kejora,Khalista,0.736,0.357,0,-9.218,1,0.0257,0.531,0.0,0.158,0.648,109.971,180427,4,anak-anak,1,0,0,0
35HqbluYJeirrdq239ynvz,Cicak Cicak Di Dinding,Agnes Mo,0.65,0.576,4,-7.85,1,0.0308,0.365,0.00301,0.173,0.899,140.082,236102,4,anak-anak,1,0,0,1
1wrrV79eQyG69JXvIFIBaR,Twinkle Twinkle Little Star,Jungle Friends,0.65,0.241,1,-8.203,1,0.0328,0.0709,1.64e-06,0.0513,0.257,108.002,209496,4,anak-anak,1,0,1,0
0lNreh5wLNxgCUtun9D2kE,Abatasa,Cantik,0.858,0.728,5,-6.881,1,0.0722,0.813,0.0675,0.0843,0.715,119.919,254929,4,anak-anak,1,0,0,0
1xxW3vKGf1gRo791FcvQw6,Lihat Kebunku,Calista Amadea,0.457,0.269,2,-9.192,1,0.03,0.918,2.01e-05,0.269,0.267,110.905,178080,4,anak-anak,1,0,1,0
4zjsckXaPXuSU1f16h7RKd,Naik Naik Kepuncak Gunung,Satulaga,0.841,0.576,2,-4.605,1,0.0358,0.0434,0.0112,0.313,0.638,125.005,226523,3,anak-anak,1,0,0,0
1V95OIBAgb42FQuyeUMfkb,Disini Senang Disana Senang,PERGI BELAJAR,0.796,0.824,5,-4.534,1,0.0281,0.504,0.859,0.112,0.947,134.961,186449,4,anak-anak,0,0,0,1
64wZCzKymjYjFUbRoab5XQ,Topi Saya Bundar,Alyssa,0.608,0.469,0,-16.584,1,0.0312,0.144,0.000174,0.258,0.828,119.972,207560,4,anak-anak,1,0,0,0
6CQgJmuBU8z5LtyfWm0QCo,Bunyi Hewan,Didi & Friends,0.93,0.475,0,-6.094,1,0.334,0.537,1.24e-05,0.149,0.802,104.962,94480,4,anak-anak,0,0,0,0
4y8uRgGKeM8UsQwtqOWQqW,Soleram,PERGI BELAJAR,0.899,0.646,0,-8.124,1,0.0325,0.355,0.176,0.172,0.421,115.996,143751,4,anak-anak,0,0,1,0
3qSC2LMIedRH8iz0LEQUPr,Nama Nama Hari (feat. Shava),Lagu Anak Terpopuler Dan Terlaris,0.792,0.828,4,-6.145,1,0.0304,0.0781,0.806,0.252,0.974,119.87,146747,4,anak-anak,0,0,0,0
04sx3fapZT1TE1jIgb8qWd,Potong Bebek Angsa,Uwa and Friends,0.823,0.745,8,-3.491,1,0.028,0.533,0.000275,0.109,0.81,119.973,115080,4,anak-anak,1,0,0,0
3VKOSPR7aI8Eg97WgrwqYy,Satu Satu Aku Sayang Ibu,Baby Kids,0.764,0.594,0,-6.972,1,0.0298,0.588,0.0358,0.0971,0.972,127.943,117250,4,anak-anak,1,0,0,1
18Zt33qJF7REqJaVve4NKO,Gelang Sipaku Gilang,PERGI BELAJAR,0.84,0.678,6,-4.462,1,0.0266,0.417,0.00178,0.114,0.918,109.936,223659,4,anak-anak,1,0,0,0
1T58gd4Mu9g1tXzz4PaEmx,Naik Delman,Rio Bhaskara,0.793,0.599,2,-7.483,1,0.0304,0.337,0.00068,0.306,0.897,91.551,125307,4,anak-anak,1,0,0,0
5Vx3kIabmEXSG1KqOcYe51,Lihat Kebunku (feat. Jhelin),Lagu Anak Terpopuler Dan Terlaris,0.663,0.805,0,-6.477,1,0.0321,0.0772,0.0202,0.326,0.941,119.906,134600,4,anak-anak,1,0,0,0
3iVvKbOzjiutVnn1euKjud,Kalau Kau Suka Hati,Zoe Dan Sahabat,0.525,0.68,9,-4.454,1,0.0315,0.115,1.28e-06,0.819,0.682,140.011,220995,4,anak-anak,1,0,0,1
2LgyG6fXjYtQ8KaOna6zSK,Cilukba,Balita,0.867,0.224,1,-13.161,1,0.086,0.683,6.13e-05,0.0898,0.769,122.968,136000,4,anak-anak,1,0,0,0
0bSgXE7pLyvbQrktUw6ljA,Potong Bebek Angsa,Bibitsku,0.963,0.636,1,-5.332,0,0.0396,0.191,8.57e-06,0.101,0.96,120.092,126833,4,anak-anak,1,0,0,0
7jwbT0VEyVw2NOgaI9dzi5,Cit Cit Cuit,Mila Meilany,0.927,0.915,11,-5.054,0,0.0399,0.731,0.00796,0.0811,0.964,119.969,239213,4,anak-anak,1,0,0,0
4XMBDixIJVUx67AQQOgwsM,Lingkaran Kecil Lingkaran Besar,Felicia,0.839,0.646,3,-7.209,1,0.0358,0.176,0.00208,0.0868,0.792,140.022,197161,4,anak-anak,1,0,0,1
